CommentController/Index: 	13710ms

CommentController/Index: 	13710ms

GameController/GetCount: 	13711ms

GameController/GetCount: 	13712ms

CommentController/Delete: 	13720ms

CommentController/Index: 	13722ms

GameController/GetCount: 	13722ms

CommentController/Index: 	13722ms

GameController/GetCount: 	13723ms

CommentController/Delete: 	13757ms

CommentController/Index: 	13763ms

GameController/GetCount: 	13767ms

CommentController/Index: 	13767ms

GameController/GetCount: 	13767ms

CommentController/Index: 	13774ms

GameController/GetCount: 	13775ms

GameController/Index: 	13838ms

GameController/GetCount: 	13839ms

GameController/Details: 	13858ms

GameController/GetCount: 	13859ms

CommentController/Index: 	13864ms

GameController/GetCount: 	13865ms

CommentController/Index: 	13869ms

GameController/GetCount: 	13871ms

CommentController/Index: 	13874ms

GameController/GetCount: 	13875ms

CommentController/Index: 	13898ms

CommentController/Index: 	13916ms

GameController/GetCount: 	13920ms

CommentController/Delete: 	13951ms

CommentController/Index: 	13954ms

GameController/GetCount: 	13954ms

CommentController/Index: 	13954ms

GameController/GetCount: 	13955ms

CommentController/Index: 	13963ms

GameController/GetCount: 	13963ms

GameController/Index: 	1136ms

GameController/GetCount: 	1144ms

GameController/Details: 	1172ms

GameController/GetCount: 	1173ms

CommentController/Index: 	1211ms

GameController/GetCount: 	1212ms

CommentController/Index: 	1217ms

GameController/GetCount: 	1218ms

CommentController/Index: 	1441ms

CommentController/Index: 	1472ms

GameController/GetCount: 	1473ms

UserController/Ban: 	1514ms

GameController/Index: 	1561ms

GameController/GetCount: 	1562ms

GameController/Index: 	1638ms

GameController/GetCount: 	1642ms

GameController/Index: 	1187ms

GameController/GetCount: 	1195ms

GameController/Details: 	1226ms

GameController/GetCount: 	1227ms

CommentController/Index: 	1328ms

GameController/GetCount: 	1329ms

CommentController/Index: 	1466ms

CommentController/Index: 	1483ms

GameController/GetCount: 	1483ms

GameController/Index: 	1347ms

GameController/GetCount: 	1355ms

GameController/New: 	1398ms

GameController/GetCount: 	1399ms

GameController/New: 	8665ms

GameController/Index: 	8730ms

GameController/GetCount: 	8731ms

GameController/Details: 	8754ms

GameController/GetCount: 	8757ms

OrderController/Add: 	11111ms

GameController/Index: 	11161ms

GameController/GetCount: 	11162ms

OrderController/Details: 	12567ms

GameController/GetCount: 	12567ms

GameController/Index: 	1316ms

GameController/GetCount: 	1325ms

GameController/Index: 	1117ms

GameController/GetCount: 	1126ms

OrderController/Details: 	1280ms

GameController/GetCount: 	1281ms

